dataset,protocol,metric,a,b,n_pairs,mean_a,mean_b,mean_diff,ci_lo,ci_hi,wilcoxon_p,perm_p,cohen_dz,cliffs_delta,wins,ties,losses,wilcoxon_p_holm,perm_p_holm
neuma,subjectwise,mcc,eegnet,mlp,42,-0.0007419075315001207,0.010648656353697647,-0.011390563885197767,-0.03752912708207604,0.015480696643614237,0.30862450609993175,0.41925807419258077,-0.1267813197673743,-0.15759637188208617,16,0,26,1.0,1.0
neuma,subjectwise,mcc,eegnet,svm_rbf,42,-0.0007419075315001207,0.00031762008690485464,-0.0010595276184049757,-0.026174974650733318,0.02382419282245102,0.5944014424017041,0.9391060893910609,-0.012182826960454978,0.027210884353741496,25,0,17,1.0,1.0
neuma,subjectwise,mcc,eegnet,xgboost,42,-0.0007419075315001207,0.02573411115995043,-0.026476018691450547,-0.05871455363595906,0.005394414943385813,0.19128168950237523,0.12618738126187382,-0.24387689270325358,-0.2165532879818594,17,0,25,1.0,1.0
neuma,subjectwise,mcc,logreg,mlp,42,0.03544641094725186,0.010648656353697647,0.024797754593554214,0.0083544653833914,0.041900965257686086,0.021020212092935253,0.0058994100589941,0.43580608774309504,0.17006802721088435,26,0,16,0.3153031813940288,0.08849115088491151
neuma,subjectwise,mcc,logreg,svm_rbf,42,0.03544641094725186,0.00031762008690485464,0.035128790860347,0.0029509098681902626,0.06763260312604848,0.05679805691488582,0.0410958904109589,0.3216082472193639,0.3979591836734694,27,0,15,0.6815766829786298,0.5342465753424657
neuma,subjectwise,mcc,logreg,xgboost,42,0.03544641094725186,0.02573411115995043,0.00971229978730144,-0.014571630869247017,0.03623613551497788,0.5114121537235405,0.46485351464853514,0.11452448135661908,0.09523809523809523,24,0,18,1.0,1.0
neuma,subjectwise,mcc,mlp,svm_rbf,42,0.010648656353697647,0.00031762008690485464,0.010331036266792793,-0.019912774380325987,0.03948382427734256,0.3456171600159905,0.5097490250974902,0.10217200526007426,0.23015873015873015,26,0,16,1.0,1.0
neuma,subjectwise,mcc,mlp,xgboost,42,0.010648656353697647,0.02573411115995043,-0.01508545480625278,-0.03432439612352881,0.0039327906744662435,0.12494005248618123,0.1374862513748625,-0.23442630994762173,-0.07482993197278912,16,0,26,1.0,1.0
neuma,subjectwise,mcc,svm_rbf,xgboost,42,0.00031762008690485464,0.02573411115995043,-0.025416491073045572,-0.05339221313110183,0.0023300293906334045,0.03253641748278824,0.08239176082391761,-0.2723404805852284,-0.2811791383219955,13,0,29,0.45550984475903533,0.9063093690630937
restaurant_logo,subjectwise,mcc,deepconvnet,eegnet,15,-0.01514879501868391,0.04572845057939223,-0.06087724559807615,-0.1082178491058496,-0.01250049312155256,0.03533935546875,0.026697330266973303,-0.6275481582523944,-0.3422222222222222,3,0,12,0.4947509765625,0.37376262373762625
restaurant_logo,subjectwise,mcc,deepconvnet,logreg,15,-0.01514879501868391,0.1348480889595505,-0.14999688397823438,-0.2661512621803736,-0.040323044770303434,0.00537109375,0.021597840215978402,-0.6466386692452787,-0.4488888888888889,2,0,13,0.08056640625,0.32396760323967605
restaurant_logo,subjectwise,mcc,deepconvnet,mlp,15,-0.01514879501868391,0.05916201716910095,-0.07431081218778485,-0.15680107033258459,0.013767518092711,0.063720703125,0.12118788121187882,-0.42947892026161394,-0.3422222222222222,2,0,13,0.7646484375,1.0
restaurant_logo,subjectwise,mcc,deepconvnet,svm_rbf,15,-0.01514879501868391,0.04589715614377917,-0.06104595116246307,-0.12844883104043772,0.007347465170119166,0.10699462890625,0.10388961103889612,-0.44617161746146383,-0.3422222222222222,4,0,11,1.0,1.0
restaurant_logo,subjectwise,mcc,deepconvnet,xgboost,15,-0.01514879501868391,0.06762991772161693,-0.08277871274030085,-0.15055106787754435,-0.010203124331162336,0.04791259765625,0.04279572042795721,-0.5835909833526729,-0.4488888888888889,4,0,11,0.62286376953125,0.5563443655634437
restaurant_logo,subjectwise,mcc,eegnet,logreg,15,0.04572845057939223,0.1348480889595505,-0.08911963838015825,-0.20204743139168602,0.018984334244669852,0.27685546875,0.16718328167183283,-0.3825353295141534,-0.21777777777777776,7,0,8,1.0,1.0
restaurant_logo,subjectwise,mcc,eegnet,mlp,15,0.04572845057939223,0.05916201716910095,-0.013433566589708708,-0.08066168561628805,0.07498713944766226,0.27685546875,0.7929207079292071,-0.08318217210687333,-0.0044444444444444444,5,0,10,1.0,1.0
restaurant_logo,subjectwise,mcc,eegnet,svm_rbf,15,0.04572845057939223,0.04589715614377917,-0.00016870556438693395,-0.06258136457157715,0.07432571975549339,0.5614013671875,0.9948005199480052,-0.0012056135135979588,0.03111111111111111,7,0,8,1.0,1.0
restaurant_logo,subjectwise,mcc,eegnet,xgboost,15,0.04572845057939223,0.06762991772161693,-0.02190146714222471,-0.08535668145264755,0.05206622310653945,0.207763671875,0.5815418458154185,-0.15389204172111054,-0.1288888888888889,4,0,11,1.0,1.0
restaurant_logo,subjectwise,mcc,logreg,mlp,15,0.1348480889595505,0.05916201716910095,0.07568607179044953,-0.03528166885737156,0.19181135702988056,0.389404296875,0.22877712228777122,0.3289954190651947,0.2088888888888889,7,0,8,1.0,1.0
restaurant_logo,subjectwise,mcc,logreg,svm_rbf,15,0.1348480889595505,0.04589715614377917,0.08895093281577132,-0.015124591827600398,0.18750288001745585,0.12054443359375,0.12668733126687332,0.42548222485507786,0.25333333333333335,10,0,5,1.0,1.0
restaurant_logo,subjectwise,mcc,logreg,xgboost,15,0.1348480889595505,0.06762991772161693,0.06721817123793355,-0.04728964201454277,0.18649893775001908,0.33026123046875,0.2896710328967103,0.28560411750522413,0.14666666666666667,8,0,7,1.0,1.0
restaurant_logo,subjectwise,mcc,mlp,svm_rbf,15,0.05916201716910095,0.04589715614377917,0.013264861025321786,-0.029636794142835123,0.05798779697372914,0.7197265625,0.5714428557144285,0.15247134422108669,0.04888888888888889,8,0,7,1.0,1.0
restaurant_logo,subjectwise,mcc,mlp,xgboost,15,0.05916201716910095,0.06762991772161693,-0.008467900552516002,-0.0678538104463042,0.052879674614700535,0.76153564453125,0.7901209879012099,-0.06885095174948633,-0.04888888888888889,7,0,8,1.0,1.0
restaurant_logo,subjectwise,mcc,svm_rbf,xgboost,15,0.04589715614377917,0.06762991772161693,-0.02173276157783778,-0.06902989720720036,0.03048254276220306,0.42120361328125,0.40735926407359263,-0.21661592266540125,-0.12,5,0,10,1.0,1.0
