dataset,protocol,metric,a,b,n_pairs,mean_a,mean_b,mean_diff,ci_lo,ci_hi,wilcoxon_p,perm_p,cohen_dz,cliffs_delta,wins,ties,losses,wilcoxon_p_holm,perm_p_holm
restaurant_logo,subjectwise,pr_auc,deepconvnet,logreg,15,0.7135687727481062,0.8122394733779424,-0.09867070062983616,-0.1609044045187237,-0.04350237202411855,0.00335693359375,0.0047995200479952005,-0.8135282720008932,-0.37777777777777777,2,0,13,0.05035400390625,0.0657934206579342
restaurant_logo,subjectwise,pr_auc,deepconvnet,mlp,15,0.7135687727481062,0.7504656144366152,-0.03689684168850919,-0.07081242080151422,-0.00369974128556458,0.0301513671875,0.05749425057494251,-0.5319700504511348,-0.2,3,0,12,0.3316650390625,0.5749425057494251
restaurant_logo,subjectwise,pr_auc,deepconvnet,svm_rbf,15,0.7135687727481062,0.7410017247214672,-0.027432951973361052,-0.06299841867216338,0.006011012362752623,0.25238037109375,0.16468353164683533,-0.3877889642966293,-0.13777777777777778,5,0,10,1.0,1.0
restaurant_logo,subjectwise,pr_auc,deepconvnet,xgboost,15,0.7135687727481062,0.732646667849378,-0.01907789510127188,-0.044301582835177634,0.0040051505062339045,0.207763671875,0.16868313168683133,-0.3823302610374049,-0.1288888888888889,5,0,10,1.0,1.0
restaurant_logo,subjectwise,pr_auc,eegnet,logreg,15,0.7222549080646418,0.8122394733779424,-0.0899845653133004,-0.1418406842919415,-0.042399141188915745,0.00335693359375,0.0046995300469953,-0.8647774688961246,-0.3333333333333333,2,0,13,0.05035400390625,0.0657934206579342
restaurant_logo,subjectwise,pr_auc,eegnet,mlp,15,0.7222549080646418,0.7504656144366152,-0.028210706371973433,-0.059892293634823596,0.0072906583849193934,0.0946044921875,0.1332866713328667,-0.40916772686747327,-0.14666666666666667,4,0,11,0.8514404296875,1.0
restaurant_logo,subjectwise,pr_auc,eegnet,svm_rbf,15,0.7222549080646418,0.7410017247214672,-0.018746816656825302,-0.04907958080110406,0.014129917058527898,0.27685546875,0.28217178282171784,-0.2865572306822493,-0.12,4,0,11,1.0,1.0
restaurant_logo,subjectwise,pr_auc,eegnet,xgboost,15,0.7222549080646418,0.732646667849378,-0.010391759784736129,-0.034645354722465306,0.011560436728020195,0.7197265625,0.42625737426257376,-0.21613156287316182,-0.057777777777777775,7,0,8,1.0,1.0
restaurant_logo,subjectwise,pr_auc,logreg,mlp,15,0.8122394733779424,0.7504656144366152,0.06177385894132697,0.021311588383593875,0.11017253905754236,0.03533935546875,0.0143985601439856,0.6698583660141921,0.23555555555555555,11,0,4,0.3533935546875,0.1583841615838416
restaurant_logo,subjectwise,pr_auc,logreg,svm_rbf,15,0.8122394733779424,0.7410017247214672,0.0712377486564751,0.03292357724264145,0.11535325501228422,0.0042724609375,0.0032996700329967,0.826315692786134,0.26222222222222225,12,0,3,0.0555419921875,0.0494950504949505
restaurant_logo,subjectwise,pr_auc,logreg,xgboost,15,0.8122394733779424,0.732646667849378,0.07959280552856428,0.03355781291352037,0.13066949604635344,0.00836181640625,0.004899510048995101,0.7847956614375731,0.3244444444444444,11,0,4,0.100341796875,0.0657934206579342
restaurant_logo,subjectwise,pr_auc,mlp,svm_rbf,15,0.7504656144366152,0.7410017247214672,0.009463889715148133,-0.0050301837923528644,0.024339919911941545,0.27685546875,0.2308769123087691,0.32056526945860303,0.06666666666666667,10,0,5,1.0,1.0
restaurant_logo,subjectwise,pr_auc,mlp,xgboost,15,0.7504656144366152,0.732646667849378,0.017818946587237306,-0.011055367592627395,0.046361207195087135,0.33026123046875,0.262973702629737,0.3010788105149357,0.10222222222222223,9,0,6,1.0,1.0
restaurant_logo,subjectwise,pr_auc,svm_rbf,xgboost,15,0.7410017247214672,0.732646667849378,0.008355056872089173,-0.017462319015402114,0.034848627508179617,0.803955078125,0.5517448255174483,0.1544044626211731,0.04888888888888889,7,0,8,1.0,1.0
