dataset,protocol,model,metric,n_participants,n_single_class_excluded,participant_mean,ci_lo,ci_hi,pooled_mean_over_seeds,pooled_sd_over_seeds,n_seeds
neuma,subjectwise,eegnet,roc_auc,42,0,0.5049252402421305,0.4902553968067764,0.5196657212796094,0.5051995830796943,0.011108740474224782,5
neuma,subjectwise,logreg,roc_auc,42,0,0.532065291001799,0.5112804531892686,0.5514225066031072,0.5288838164995765,0.005319634656913534,5
neuma,subjectwise,mlp,roc_auc,42,0,0.5157822499395699,0.49830924331290793,0.5314791470481408,0.5188499140977703,0.005998689751694988,5
neuma,subjectwise,svm_rbf,roc_auc,42,0,0.490982317378826,0.4747931580327753,0.5058162823045812,0.48045842423780727,0.00843166848256114,5
neuma,subjectwise,xgboost,roc_auc,42,0,0.5146955929936403,0.4970571607918036,0.5324613288391399,0.5177331733555665,0.006147957659613925,5
restaurant_logo,subjectwise,deepconvnet,roc_auc,15,0,0.5073427011260345,0.4718950534188035,0.5472398677248675,0.4918904761904762,0.029843976743152128,5
restaurant_logo,subjectwise,eegnet,roc_auc,15,0,0.5560514109347442,0.5031633333333332,0.611031340388007,0.5007666666666666,0.022976905490971696,5
restaurant_logo,subjectwise,logreg,roc_auc,15,0,0.6295589370506036,0.5622251154015737,0.6998891159611991,0.5988,0.030270431154305916,5
restaurant_logo,subjectwise,mlp,roc_auc,15,0,0.5452121320037987,0.47578317350088184,0.6029107892416226,0.5254285714285714,0.012837798498760808,5
restaurant_logo,subjectwise,svm_rbf,roc_auc,15,0,0.5508353920770587,0.4858991333435083,0.6066221050400216,0.5100952380952382,0.017801303170212685,5
restaurant_logo,subjectwise,xgboost,roc_auc,15,0,0.5492468525301859,0.5055674598935016,0.589115405643739,0.5142285714285714,0.028195965923001578,5
ds007406,subjectwise,deepconvnet,balanced_accuracy,10,0,0.4966666666666667,0.45666666666666667,0.5333333333333333,0.4966666666666667,0.03231786571610886,5
ds007406,subjectwise,eegnet,balanced_accuracy,10,0,0.5366666666666665,0.4833333333333333,0.5866666666666667,0.5366666666666667,0.06699917080747261,5
ds007406,subjectwise,logreg,balanced_accuracy,10,0,0.55,0.5166666666666666,0.5933333333333333,0.55,0.02788866755113586,5
ds007406,subjectwise,mlp,balanced_accuracy,10,0,0.5599999999999999,0.5166666666666666,0.5933333333333334,0.5599999999999999,0.047842333648024406,5
ds007406,subjectwise,svm_rbf,balanced_accuracy,10,0,0.5199999999999999,0.48666666666666664,0.5533333333333333,0.5199999999999999,0.01943650631615101,5
ds007406,subjectwise,xgboost,balanced_accuracy,10,0,0.5033333333333333,0.47000000000000003,0.5333333333333333,0.5033333333333333,0.049888765156985884,5
neuma,subjectwise,deepconvnet,balanced_accuracy,42,0,0.49994012317965353,0.48819417731781517,0.5122519887358565,0.49853701696013564,0.008301011248247071,5
neuma,subjectwise,eegnet,balanced_accuracy,42,0,0.5004179493801012,0.4905754018426554,0.5101895558493295,0.5003526141340497,0.010835117880621194,5
neuma,subjectwise,logreg,balanced_accuracy,42,0,0.5185012323283624,0.5044008257612793,0.5318833610019519,0.5192720776489381,0.005655064239354829,5
neuma,subjectwise,mlp,balanced_accuracy,42,0,0.5040692052107828,0.4907553676830575,0.5160165812394559,0.5088870423887004,0.004574799959964537,5
neuma,subjectwise,svm_rbf,balanced_accuracy,42,0,0.5012322089021615,0.4961810297946144,0.5065726583715345,0.5009733861796045,0.008811218857732816,5
neuma,subjectwise,xgboost,balanced_accuracy,42,0,0.512517808320794,0.4990682902912323,0.525925390286713,0.5156955024004894,0.005564655947349783,5
restaurant_logo,subjectwise,deepconvnet,balanced_accuracy,15,0,0.49753998778998787,0.4738131191493692,0.5237123412698413,0.49123809523809525,0.021886327646923314,5
restaurant_logo,subjectwise,eegnet,balanced_accuracy,15,0,0.5343883190883191,0.4978654599104599,0.5754429563492063,0.5018095238095237,0.018468948015962536,5
restaurant_logo,subjectwise,logreg,balanced_accuracy,15,0,0.5688679283679284,0.5184999872812373,0.6205216666666667,0.5545714285714286,0.019390602488128336,5
restaurant_logo,subjectwise,mlp,balanced_accuracy,15,0,0.5286799145299145,0.48533707061457054,0.5693251719576721,0.5233809523809524,0.01317714643648681,5
restaurant_logo,subjectwise,svm_rbf,balanced_accuracy,15,0,0.5287349613349612,0.4978318386243385,0.5624739153439153,0.49657142857142855,0.008886535969766258,5
restaurant_logo,subjectwise,xgboost,balanced_accuracy,15,0,0.5459138787138788,0.511095062067562,0.5838541366503865,0.5284285714285714,0.0210681864602918,5
ds007406,subjectwise,deepconvnet,pr_auc,10,0,0.6187777777777778,0.5803333333333334,0.6647777777777778,0.513709254770862,0.012871574195911189,5
ds007406,subjectwise,eegnet,pr_auc,10,0,0.706111111111111,0.6316666666666666,0.7888888888888889,0.5593223313739386,0.060347660636954396,5
ds007406,subjectwise,logreg,pr_auc,10,0,0.7248888888888888,0.639775,0.8109999999999999,0.6150617167586463,0.027119726863775038,5
ds007406,subjectwise,mlp,pr_auc,10,0,0.7261111111111112,0.6425416666666667,0.7931111111111111,0.6083034827561512,0.04850624024887662,5
ds007406,subjectwise,svm_rbf,pr_auc,10,0,0.6738888888888889,0.5965527777777777,0.7498944444444443,0.5646491756593173,0.04416757125237909,5
ds007406,subjectwise,xgboost,pr_auc,10,0,0.6258888888888888,0.5738888888888889,0.6830083333333331,0.5517283321524354,0.04916586448363811,5
neuma,subjectwise,deepconvnet,pr_auc,42,0,0.3109354470724816,0.2849403667096783,0.33799496184480887,0.2590009355147502,0.007056046372631874,5
neuma,subjectwise,eegnet,pr_auc,42,0,0.31522663959987696,0.2894884811184863,0.3421221562649558,0.26116848870125803,0.0053653637297532706,5
neuma,subjectwise,logreg,pr_auc,42,0,0.34273828198684597,0.31175418107395464,0.3741822740229356,0.27728535153132305,0.004862745849390496,5
neuma,subjectwise,mlp,pr_auc,42,0,0.3338774668871184,0.3039034761752166,0.36297002238577447,0.27332500851564356,0.005036433464489918,5
neuma,subjectwise,svm_rbf,pr_auc,42,0,0.31233180870383415,0.28468477015818766,0.3413291652765563,0.2505424520258638,0.007898805486795583,5
neuma,subjectwise,xgboost,pr_auc,42,0,0.3328516651663795,0.30066228394272027,0.36657839032627837,0.2748691401564815,0.0036595177680319485,5
restaurant_logo,subjectwise,deepconvnet,pr_auc,15,0,0.7135687727481062,0.6330139389229981,0.7981298805986844,0.6755178608915556,0.025307043895754146,5
restaurant_logo,subjectwise,eegnet,pr_auc,15,0,0.7222549080646418,0.6428374776415801,0.8032483451501954,0.671422672787803,0.017068373594326523,5
restaurant_logo,subjectwise,logreg,pr_auc,15,0,0.8122394733779424,0.7511430365871746,0.8739304997548911,0.7746964200975887,0.02218440520620393,5
restaurant_logo,subjectwise,mlp,pr_auc,15,0,0.7504656144366152,0.6792360968820921,0.8209309388481313,0.7147387642820041,0.009192884695579473,5
restaurant_logo,subjectwise,svm_rbf,pr_auc,15,0,0.7410017247214672,0.6707577595860907,0.8129558469749005,0.6935947187089324,0.008679040130719396,5
restaurant_logo,subjectwise,xgboost,pr_auc,15,0,0.732646667849378,0.6624446201513055,0.8054149133085394,0.690193828681908,0.015690619598619466,5
