dataset,protocol,metric,a,b,n_pairs,mean_a,mean_b,mean_diff,ci_lo,ci_hi,wilcoxon_p,perm_p,cohen_dz,cliffs_delta,wins,ties,losses,wilcoxon_p_holm,perm_p_holm
ds007406,subjectwise,roc_auc,logreg,svm_rbf,10,0.62,0.5355555555555556,0.08444444444444446,-0.011111111111111094,0.19777777777777783,0.181640625,0.19758024197580243,0.46790523610347207,0.27,7,0,3,1.0,1.0
ds007406,subjectwise,roc_auc,logreg,xgboost,10,0.62,0.5344444444444444,0.08555555555555558,-0.0344444444444444,0.19666666666666668,0.19921875,0.197980201979802,0.4414559018139998,0.38,7,0,3,1.0,1.0
ds007406,subjectwise,roc_auc,mlp,svm_rbf,10,0.6088888888888888,0.5355555555555556,0.07333333333333333,-0.008888888888888885,0.1622222222222222,0.12890625,0.16578342165783422,0.4937057190076398,0.33,6,1,3,1.0,1.0
ds007406,subjectwise,roc_auc,mlp,xgboost,10,0.6088888888888888,0.5344444444444444,0.07444444444444447,-0.06555555555555552,0.18444444444444447,0.1640625,0.31426857314268575,0.3450116344434754,0.47,7,1,2,1.0,1.0
ds007406,subjectwise,roc_auc,svm_rbf,xgboost,10,0.5355555555555556,0.5344444444444444,0.001111111111111124,-0.12000000000000002,0.12000000000000002,1.0,1.0,0.00534107228516987,0.05,4,1,5,1.0,1.0
neuma,subjectwise,roc_auc,deepconvnet,eegnet,42,0.497483706605787,0.5049252402421305,-0.007441533636343438,-0.021037950188683378,0.006047439812631998,0.2182176745795914,0.286971302869713,-0.16717068986826242,-0.10204081632653061,16,0,26,1.0,1.0
neuma,subjectwise,roc_auc,deepconvnet,logreg,42,0.497483706605787,0.532065291001799,-0.03458158439601207,-0.061561216420175785,-0.007762868347437219,0.02495414577833799,0.012898710128987101,-0.3822807799512415,-0.37755102040816324,16,0,26,0.32440389511839385,0.1805819418058194
neuma,subjectwise,roc_auc,deepconvnet,mlp,42,0.497483706605787,0.5157822499395699,-0.018298543333782984,-0.042531763176504506,0.0054453218767958845,0.13456975331382637,0.14808519148085192,-0.22809418948123467,-0.2562358276643991,17,0,25,1.0,1.0
neuma,subjectwise,roc_auc,deepconvnet,svm_rbf,42,0.497483706605787,0.490982317378826,0.0065013892269608605,-0.014933660190191314,0.027559786509675343,0.6204215925972676,0.565943405659434,0.09001740506655251,0.021541950113378686,22,0,20,1.0,1.0
neuma,subjectwise,roc_auc,deepconvnet,xgboost,42,0.497483706605787,0.5146955929936403,-0.017211886387853436,-0.04365614186553958,0.008929729959038112,0.3456171600159905,0.22357764223577642,-0.1920040469640247,-0.21201814058956917,18,0,24,1.0,1.0
