dataset,protocol,model,seed,subject_id,threshold,n_trials,single_class,mcc,kappa,balanced_accuracy,pr_auc,roc_auc,macro_f1,sensitivity,specificity,ece,accuracy
ds007406,subjectwise,deepconvnet,4,sub-005,0.5569499709705512,6,0,0.0,0.0,0.5,0.4777777777777778,0.33333333333333337,0.4857142857142857,0.6666666666666666,0.3333333333333333,0.05999081747399437,0.5
ds007406,subjectwise,deepconvnet,4,sub-006,0.5208280819157759,6,0,-0.4472135954999579,-0.33333333333333326,0.3333333333333333,0.5333333333333333,0.4444444444444445,0.25,0.0,0.6666666666666666,0.15229015631808165,0.3333333333333333
ds007406,subjectwise,deepconvnet,4,sub-007,0.5782864215473335,6,0,0.0,0.0,0.5,0.5333333333333333,0.4444444444444445,0.4857142857142857,0.3333333333333333,0.6666666666666666,0.1309834982785914,0.5
ds007406,subjectwise,deepconvnet,4,sub-008,0.5185937184840441,6,0,-0.4472135954999579,-0.33333333333333326,0.3333333333333333,0.6388888888888888,0.6666666666666667,0.25,0.0,0.6666666666666666,0.14824781633085676,0.3333333333333333
ds007406,subjectwise,deepconvnet,4,sub-009,0.5208280819157759,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.8055555555555556,0.7777777777777779,0.625,0.3333333333333333,1.0,0.14751385557982657,0.6666666666666666
ds007406,subjectwise,deepconvnet,4,sub-010,0.5322804473340512,6,0,-0.3333333333333333,-0.33333333333333326,0.3333333333333333,0.6333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.027657255530357472,0.3333333333333333
ds007406,subjectwise,eegnet,0,sub-001,0.5033293501536051,6,0,-0.3333333333333333,-0.33333333333333326,0.3333333333333333,0.7,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0068501194318135354,0.3333333333333333
ds007406,subjectwise,eegnet,0,sub-002,0.5011538902421793,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.4777777777777778,0.33333333333333337,0.625,1.0,0.3333333333333333,0.16105558209949072,0.6666666666666666
ds007406,subjectwise,eegnet,0,sub-003,0.5069834196567535,6,0,0.0,0.0,0.5,0.5,0.33333333333333337,0.3333333333333333,1.0,0.0,0.022868575321303486,0.5
ds007406,subjectwise,eegnet,0,sub-004,0.5012708115577698,6,0,0.0,0.0,0.5,0.9166666666666665,0.888888888888889,0.3333333333333333,1.0,0.0,0.005279696815543633,0.5
ds007406,subjectwise,eegnet,0,sub-005,0.499312497874101,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.7555555555555555,0.6666666666666667,0.625,1.0,0.3333333333333333,0.15090760000877906,0.6666666666666666
ds007406,subjectwise,eegnet,0,sub-006,0.5011538902421793,6,0,0.0,0.0,0.5,0.8333333333333333,0.6666666666666666,0.4857142857142857,0.6666666666666666,0.3333333333333333,0.17129033539030286,0.5
ds007406,subjectwise,eegnet,0,sub-007,0.5069834196567535,6,0,-0.3333333333333333,-0.33333333333333326,0.3333333333333333,0.7,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.015762034974371415,0.3333333333333333
ds007406,subjectwise,eegnet,0,sub-008,0.499312497874101,6,0,-0.4472135954999579,-0.33333333333333326,0.3333333333333333,0.7222222222222222,0.5555555555555556,0.25,0.6666666666666666,0.0,0.17795045094357598,0.3333333333333333
ds007406,subjectwise,eegnet,0,sub-009,0.5033293501536051,6,0,0.0,0.0,0.5,1.0,1.0,0.3333333333333333,0.0,1.0,0.16071848273277275,0.5
ds007406,subjectwise,eegnet,0,sub-010,0.5012708115577698,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.5333333333333333,0.4444444444444445,0.625,1.0,0.3333333333333333,0.004512182705932122,0.6666666666666666
ds007406,subjectwise,eegnet,1,sub-001,0.5122919931014379,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.5888888888888889,0.5555555555555556,0.625,1.0,0.3333333333333333,0.14651978719565606,0.6666666666666666
ds007406,subjectwise,eegnet,1,sub-002,0.5040219778195023,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.4777777777777778,0.33333333333333337,0.625,1.0,0.3333333333333333,0.1532303416894542,0.6666666666666666
ds007406,subjectwise,eegnet,1,sub-003,0.5194254808127879,6,0,-0.7071067811865476,-0.6666666666666667,0.16666666666666666,0.41111111111111115,0.11111111111111112,0.14285714285714285,0.0,0.3333333333333333,0.019582954214678927,0.16666666666666666
ds007406,subjectwise,eegnet,1,sub-004,0.5194254808127879,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.9166666666666665,0.888888888888889,0.625,0.3333333333333333,1.0,0.012752123425404327,0.6666666666666666
ds007406,subjectwise,eegnet,1,sub-005,0.5086124970018864,6,0,0.0,0.0,0.5,0.7555555555555555,0.6666666666666667,0.4857142857142857,0.6666666666666666,0.3333333333333333,0.15187242438809737,0.5
ds007406,subjectwise,eegnet,1,sub-006,0.5122919931014379,6,0,-0.4472135954999579,-0.33333333333333326,0.3333333333333333,0.5555555555555556,0.4444444444444445,0.25,0.6666666666666666,0.0,0.01965508212645839,0.3333333333333333
ds007406,subjectwise,eegnet,1,sub-007,0.5040219778195023,6,0,-0.3333333333333333,-0.33333333333333326,0.3333333333333333,0.4777777777777778,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.01118410629224953,0.3333333333333333
ds007406,subjectwise,eegnet,1,sub-008,0.5086124970018864,6,0,-0.4472135954999579,-0.33333333333333326,0.3333333333333333,0.6333333333333333,0.3333333333333333,0.25,0.6666666666666666,0.0,0.015649761093987413,0.3333333333333333
ds007406,subjectwise,eegnet,1,sub-009,0.5146984577178955,6,0,0.7071067811865476,0.6666666666666667,0.8333333333333333,0.8666666666666667,0.7777777777777778,0.8285714285714285,0.6666666666666666,1.0,0.01241218530469479,0.8333333333333334
ds007406,subjectwise,eegnet,1,sub-010,0.5146984577178955,6,0,-0.4472135954999579,-0.33333333333333326,0.3333333333333333,0.6333333333333333,0.3333333333333333,0.25,0.6666666666666666,0.0,0.015616977214813255,0.3333333333333333
ds007406,subjectwise,eegnet,2,sub-001,0.5019127059976259,6,0,0.0,0.0,0.5,0.5555555555555556,0.4444444444444445,0.3333333333333333,1.0,0.0,0.008827096886104946,0.5
ds007406,subjectwise,eegnet,2,sub-002,0.4994022953510285,6,0,0.0,0.0,0.5,0.7222222222222222,0.5555555555555556,0.4857142857142857,0.6666666666666666,0.3333333333333333,0.0070918376247087744,0.5
ds007406,subjectwise,eegnet,2,sub-003,0.5037023595968882,6,0,-0.7071067811865476,-0.6666666666666667,0.16666666666666666,0.38333333333333336,0.0,0.14285714285714285,0.3333333333333333,0.0,0.1713923601640596,0.16666666666666666
ds007406,subjectwise,eegnet,2,sub-004,0.5166807162761688,6,0,0.7071067811865476,0.6666666666666667,0.8333333333333333,1.0,1.0,0.8285714285714285,1.0,0.6666666666666666,0.02616867547233903,0.8333333333333334
ds007406,subjectwise,eegnet,2,sub-005,0.5037023595968882,6,0,0.0,0.0,0.5,0.7,0.5555555555555556,0.4857142857142857,0.6666666666666666,0.3333333333333333,0.15513053213556605,0.5
ds007406,subjectwise,eegnet,2,sub-006,0.5166807162761688,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,1.0,1.0,0.625,1.0,0.3333333333333333,0.021167088217205476,0.6666666666666666
ds007406,subjectwise,eegnet,2,sub-007,0.5019127059976259,6,0,0.7071067811865476,0.6666666666666667,0.8333333333333333,0.8055555555555556,0.7777777777777779,0.8285714285714285,1.0,0.6666666666666666,0.3261226091947821,0.8333333333333334
ds007406,subjectwise,eegnet,2,sub-008,0.4948934328556061,6,0,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3218430032332738,0.6666666666666666
ds007406,subjectwise,eegnet,2,sub-009,0.4948934328556061,6,0,0.7071067811865476,0.6666666666666667,0.8333333333333333,1.0,1.0,0.8285714285714285,0.6666666666666666,1.0,0.31384684211677977,0.8333333333333334
ds007406,subjectwise,eegnet,2,sub-010,0.4994022953510285,6,0,0.0,0.0,0.5,0.5,0.33333333333333337,0.4857142857142857,0.6666666666666666,0.3333333333333333,0.008033824960390696,0.5
ds007406,subjectwise,eegnet,3,sub-001,0.5129423013826212,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.8055555555555556,0.7777777777777779,0.625,1.0,0.3333333333333333,0.11778562563574979,0.6666666666666666
ds007406,subjectwise,eegnet,3,sub-002,0.5048158558706443,6,0,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.5888888888888889,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.011796335627635341,0.6666666666666666
ds007406,subjectwise,eegnet,3,sub-003,0.5129423013826212,6,0,0.0,0.0,0.5,0.8055555555555556,0.7777777777777779,0.3333333333333333,1.0,0.0,0.04789005104038446,0.5
ds007406,subjectwise,eegnet,3,sub-004,0.5047693326075872,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,1.0,1.0,0.625,1.0,0.3333333333333333,0.018389743566513128,0.6666666666666666
ds007406,subjectwise,eegnet,3,sub-005,0.5047693326075872,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.8055555555555556,0.7777777777777779,0.625,1.0,0.3333333333333333,0.1344033251438911,0.6666666666666666
ds007406,subjectwise,eegnet,3,sub-006,0.5059670296063026,6,0,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.7222222222222222,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.010052562256654147,0.6666666666666666
ds007406,subjectwise,eegnet,3,sub-007,0.5059670296063026,6,0,0.0,0.0,0.5,0.4777777777777778,0.33333333333333337,0.4857142857142857,0.6666666666666666,0.3333333333333333,0.015472434047195708,0.5
ds007406,subjectwise,eegnet,3,sub-008,0.5048158558706443,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.625,0.3333333333333333,1.0,0.16017103840907412,0.6666666666666666
ds007406,subjectwise,eegnet,3,sub-009,0.4926894629995028,6,0,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.9166666666666665,0.888888888888889,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.011049925784269998,0.6666666666666666
ds007406,subjectwise,eegnet,3,sub-010,0.4926894629995028,6,0,0.4472135954999579,0.33333333333333337,0.6666666666666666,0.9166666666666665,0.888888888888889,0.625,1.0,0.3333333333333333,0.003939386374420595,0.6666666666666666
ds007406,subjectwise,eegnet,4,sub-001,0.5001771274209023,6,0,0.0,0.0,0.5,0.5888888888888889,0.5555555555555556,0.4857142857142857,0.3333333333333333,0.6666666666666666,0.012588700445161952,0.5
ds007406,subjectwise,eegnet,4,sub-002,0.5150147852798304,6,0,0.0,0.0,0.5,0.8333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0217161266340149,0.5
ds007406,subjectwise,eegnet,4,sub-003,0.5174827585617701,6,0,0.0,0.0,0.5,0.4666666666666667,0.22222222222222224,0.3333333333333333,1.0,0.0,0.035925682551330884,0.5
ds007406,subjectwise,eegnet,4,sub-004,0.528854171037674,6,0,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.9166666666666665,0.888888888888889,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.023057178056074545,0.6666666666666666
