dataset,protocol,model,seed,subject_id,threshold,n_trials,single_class,mcc,kappa,balanced_accuracy,pr_auc,roc_auc,macro_f1,sensitivity,specificity,ece,accuracy
neuma,subjectwise,svm_rbf,1,S16,0.2714278667369467,224,0,-0.12975465697626795,-0.020848020948735835,0.473403571887447,0.21547154642875846,0.45766413979185405,0.169299485729506,0.9302325581395349,0.016574585635359115,0.08962667594141768,0.19196428571428573
neuma,subjectwise,svm_rbf,1,S17,0.2413092200762535,90,0,0.051817744397510426,0.04458598726114649,0.5185185185185185,0.3606859550283047,0.49794238683127573,0.4996293550778354,0.14814814814814814,0.8888888888888888,0.06453520092355802,0.6666666666666666
neuma,subjectwise,svm_rbf,1,S18,0.3233317042850309,56,0,0.0,0.0,0.5,0.47745764661993056,0.5512820512820513,0.3488372093023256,0.0,1.0,0.2141926556262546,0.5357142857142857
neuma,subjectwise,svm_rbf,1,S19,0.2675154615987994,118,0,0.08121461201353397,0.05400843881856532,0.5177777777777778,0.18619094994183075,0.5238888888888888,0.5034330011074197,0.05555555555555555,0.98,0.1034878566752204,0.8389830508474576
neuma,subjectwise,svm_rbf,1,S20,0.2413092200762535,56,0,-0.09299019479515987,-0.08667529107373872,0.44947209653092,0.2570879611730994,0.4012066365007541,0.4385026737967914,0.4117647058823529,0.48717948717948717,0.06337870490493736,0.4642857142857143
neuma,subjectwise,svm_rbf,1,S21,0.2675154615987994,135,0,-0.051107145278399796,-0.014613778705636848,0.495,0.2910268067959493,0.5242857142857142,0.4230769230769231,0.0,0.99,0.0037223292444949485,0.7333333333333333
neuma,subjectwise,svm_rbf,1,S22,0.2675154615987994,79,0,-0.10098581681669559,-0.02523431867339565,0.48863636363636365,0.4217919702856549,0.4662337662337662,0.3524590163934426,0.0,0.9772727272727273,0.18399737845150183,0.5443037974683544
neuma,subjectwise,svm_rbf,1,S23,0.2675154615987994,70,0,-0.095394450112334,-0.02833158447009443,0.4883720930232558,0.3290488120406664,0.38070628768303183,0.375,0.0,0.9767441860465116,0.12763358650073664,0.6
neuma,subjectwise,svm_rbf,1,S24,0.2688809500315473,221,0,0.05106741419837699,0.04870865428183058,0.5198926720947447,0.14210766835791191,0.47705403404885266,0.5204431247144815,0.10714285714285714,0.9326424870466321,0.1300180502837157,0.8280542986425339
neuma,subjectwise,svm_rbf,1,S25,0.2714278667369467,42,0,-0.17569564951772032,-0.06546644844517191,0.4413489736070382,0.3003911777372188,0.4809384164222874,0.24081632653061225,0.8181818181818182,0.06451612903225806,0.018731660385229443,0.2619047619047619
neuma,subjectwise,svm_rbf,1,S26,0.2688809500315473,269,0,-0.09273353546322172,-0.03636206224838734,0.4864864864864865,0.2790165586237624,0.46750321750321744,0.40089086859688194,0.0,0.972972972972973,0.058978405136096534,0.6691449814126395
neuma,subjectwise,svm_rbf,1,S27,0.2714278667369467,49,0,0.0,0.0,0.5,0.3468444761641463,0.563265306122449,0.2222222222222222,1.0,0.0,0.00039116297633973174,0.2857142857142857
neuma,subjectwise,svm_rbf,1,S28,0.2714278667369467,152,0,0.05606809642135502,0.006267559974065362,0.508130081300813,0.2311868087117259,0.49341183067003086,0.17801117318435755,1.0,0.016260162601626018,0.0930787590087673,0.20394736842105263
neuma,subjectwise,svm_rbf,1,S29,0.2714278667369467,109,0,0.0687503356958181,0.009408745856944178,0.5114942528735632,0.2976771235228562,0.6415882967607105,0.19301454577127428,1.0,0.022988505747126436,0.08099251075349123,0.22018348623853212
neuma,subjectwise,svm_rbf,1,S30,0.2714278667369467,53,0,-0.02638599092686087,-0.008883248730964466,0.49492753623188407,0.5442009911806229,0.5289855072463768,0.3285472972972973,0.9565217391304348,0.03333333333333333,0.15335936536963823,0.4339622641509434
neuma,subjectwise,svm_rbf,1,S31,0.2675154615987994,99,0,0.0,0.0,0.5,0.32968625745500985,0.45384615384615384,0.39634146341463417,0.0,1.0,0.08696442660980419,0.6565656565656566
neuma,subjectwise,svm_rbf,1,S32,0.2675154615987994,101,0,-0.05277130021690084,-0.01930671347082047,0.4936708860759494,0.23749286341489623,0.4372842347525892,0.43575418994413406,0.0,0.9873417721518988,0.03871198748666363,0.7722772277227723
neuma,subjectwise,svm_rbf,1,S33,0.2688809500315473,97,0,-0.08294057203634066,-0.0707613925842061,0.4699519230769231,0.33381892288945003,0.5158653846153847,0.43579418344519016,0.09375,0.8461538461538461,0.07082997841771355,0.5979381443298969
neuma,subjectwise,svm_rbf,1,S34,0.3233317042850309,235,0,-0.0522766438649124,-0.0243709134139094,0.49226804123711343,0.1376470292736761,0.3906210711591652,0.44835680751173707,0.0,0.9845360824742269,0.0928417120173709,0.8127659574468085
neuma,subjectwise,svm_rbf,1,S35,0.2714278667369467,101,0,-0.14702026543559724,-0.041519674355495084,0.45973684210526317,0.2537403784547201,0.44684210526315793,0.21991869918699186,0.88,0.039473684210526314,0.03281112564219446,0.24752475247524752
neuma,subjectwise,svm_rbf,1,S36,0.3233317042850309,51,0,0.21908902300206645,0.09160305343511443,0.5333333333333333,0.36241444998555167,0.4981481481481481,0.4811046511627907,0.06666666666666667,1.0,0.024434953073232502,0.7254901960784313
neuma,subjectwise,svm_rbf,1,S37,0.2688809500315473,66,0,0.0,0.0,0.5,0.3482223013643252,0.44134615384615383,0.37735849056603776,0.0,1.0,0.13873621101956768,0.6060606060606061
neuma,subjectwise,svm_rbf,1,S38,0.3233317042850309,181,0,0.0,0.0,0.5,0.31708977858406107,0.5256648113790972,0.4217252396166134,0.0,1.0,0.02433625029509092,0.7292817679558011
neuma,subjectwise,svm_rbf,1,S39,0.2688809500315473,39,0,0.20519567041703082,0.08080808080808077,0.5333333333333333,0.5594604090215881,0.5722222222222222,0.4495967741935484,0.06666666666666667,1.0,0.13151980722520046,0.6410256410256411
neuma,subjectwise,svm_rbf,1,S40,0.2413092200762535,65,0,0.30151134457776363,0.25531914893617025,0.6153846153846154,0.6430713466812051,0.6765285996055226,0.6033129904097646,0.3076923076923077,0.9230769230769231,0.16229535224003408,0.676923076923077
neuma,subjectwise,svm_rbf,1,S41,0.3233317042850309,48,0,0.0,0.0,0.5,0.31769581863012974,0.3851851851851852,0.38461538461538464,0.0,1.0,0.17149715648665845,0.625
neuma,subjectwise,svm_rbf,1,S42,0.2714278667369467,63,0,0.10301070542879115,0.020999580008399965,0.5131578947368421,0.35958474800532453,0.4242105263157895,0.3129973474801061,1.0,0.02631578947368421,0.11543664651688174,0.4126984126984127
neuma,subjectwise,svm_rbf,1,S43,0.3233317042850309,86,0,0.0,0.0,0.5,0.2232036246888626,0.45128205128205123,0.4304635761589404,0.0,1.0,0.0355131115226401,0.7558139534883721
