dataset,protocol,model,metric,n_participants,n_single_class_excluded,participant_mean,ci_lo,ci_hi,pooled_mean_over_seeds,pooled_sd_over_seeds,n_seeds
restaurant_logo,permuted_subjectwise,svm_rbf,mcc,15,0,0.009416702429417553,-0.020811102700759105,0.03949602689796078,-0.0001867715729145653,0.021378081294118733,5
restaurant_logo,subjectwise,deepconvnet,mcc,15,0,-0.01514879501868391,-0.057459667535807224,0.03017012983238132,-0.016049785570983122,0.04114099385065828,5
restaurant_logo,subjectwise,eegnet,mcc,15,0,0.04572845057939223,-0.011569486234804484,0.10284284050401148,0.00186723646636347,0.03737247989670378,5
restaurant_logo,subjectwise,logreg,mcc,15,0,0.1348480889595505,0.033405323638273164,0.24217644178621645,0.10181735398603084,0.036273333308854135,5
restaurant_logo,subjectwise,svm_rbf,mcc,15,0,0.04589715614377917,-0.006937027942558952,0.1007622246792356,-0.007848414067582674,0.020073999821139065,5
ds007406,epochwise,deepconvnet,roc_auc,10,0,0.4355555555555556,0.33111111111111113,0.5355555555555556,0.42777777777777776,0.04274529791482522,5
ds007406,epochwise,eegnet,roc_auc,10,0,0.5133333333333334,0.4177777777777778,0.5955555555555556,0.5191111111111111,0.010666666666666645,5
ds007406,epochwise,logreg,roc_auc,10,0,0.49333333333333335,0.37111111111111117,0.6244444444444446,0.4762222222222222,0.062470141015676585,5
ds007406,epochwise,svm_rbf,roc_auc,10,0,0.47777777777777775,0.44444444444444453,0.5088888888888891,0.4644444444444444,0.056441819711501834,5
ds007406,permuted_subjectwise,deepconvnet,roc_auc,10,0,0.42666666666666675,0.38666666666666666,0.47111111111111115,0.45088888888888884,0.061404950136243655,5
ds007406,permuted_subjectwise,eegnet,roc_auc,10,0,0.428888888888889,0.37333333333333335,0.48888888888888893,0.46311111111111114,0.05410278284072929,5
ds007406,permuted_subjectwise,logreg,roc_auc,10,0,0.48888888888888893,0.42216666666666663,0.5533333333333335,0.4651111111111111,0.02753762857717274,5
ds007406,permuted_subjectwise,svm_rbf,roc_auc,10,0,0.5022222222222222,0.468888888888889,0.5333333333333334,0.4935555555555555,0.04949822293854675,5
ds007406,subjectwise,deepconvnet,roc_auc,10,0,0.48888888888888893,0.44000000000000006,0.5488888888888889,0.4966666666666666,0.023147407395555174,5
ds007406,subjectwise,eegnet,roc_auc,10,0,0.5888888888888888,0.4844444444444444,0.7066666666666667,0.546,0.057566279567207355,5
ds007406,subjectwise,logreg,roc_auc,10,0,0.62,0.49772222222222223,0.7422222222222222,0.5808888888888889,0.026716619879351835,5
ds007406,subjectwise,svm_rbf,roc_auc,10,0,0.5355555555555556,0.42000000000000004,0.6422222222222222,0.5342222222222223,0.04706916371510659,5
neuma,epochwise,deepconvnet,roc_auc,42,0,0.49579228123859387,0.48221038264745747,0.5086328409470945,0.5085748929425681,0.004423437461624968,5
neuma,epochwise,eegnet,roc_auc,42,0,0.502388900035086,0.48866903784183224,0.5160837758252611,0.5030871429743685,0.0045133152482054305,5
neuma,epochwise,logreg,roc_auc,42,0,0.5262800645753708,0.5058910837681531,0.5452300753881842,0.5421036606082494,0.005752365040249006,5
