dataset,protocol,model,seed,n_trials,n_subjects,mcc,kappa,balanced_accuracy,pr_auc,roc_auc,macro_f1,sensitivity,specificity,ece,accuracy
restaurant_logo,subjectwise,mlp,3,440,15,0.08582703446625337,0.08499095840867998,0.5447619047619048,0.7140975565915504,0.5341190476190476,0.5404595404595405,0.6466666666666666,0.44285714285714284,0.17934192202272725,0.5818181818181818
restaurant_logo,subjectwise,mlp,4,440,15,0.05295270511602015,0.043298192771084265,0.5273809523809524,0.7316266078857481,0.5466190476190477,0.4738013760684203,0.38333333333333336,0.6714285714285714,0.18637915404545455,0.475
restaurant_logo,subjectwise,svm_rbf,0,440,15,0.021322555373316426,0.020703933747411973,0.5095238095238095,0.6926541680361362,0.5076666666666667,0.5046990758920391,0.7833333333333333,0.2357142857142857,0.05014915004278387,0.6090909090909091
restaurant_logo,subjectwise,svm_rbf,1,440,15,0.0017694958208152355,0.001630434782608714,0.5007142857142857,0.6872628184518237,0.5069523809523809,0.4860639972023081,0.83,0.17142857142857143,0.08497695576883496,0.6204545454545455
restaurant_logo,subjectwise,svm_rbf,2,440,15,-0.0035747358200280345,-0.0035282258064515126,0.49833333333333335,0.704788137629313,0.5074761904761904,0.4955630577847592,0.7466666666666667,0.25,0.03999059196152177,0.5886363636363636
restaurant_logo,subjectwise,svm_rbf,3,440,15,-0.037314471903303746,-0.036231884057971175,0.4833333333333334,0.681567669524892,0.486547619047619,0.475902510536925,0.7666666666666667,0.2,0.06600265454042423,0.5863636363636363
restaurant_logo,subjectwise,svm_rbf,4,440,15,-0.021444913808713252,-0.02025586353944564,0.490952380952381,0.7017007999024967,0.5418333333333334,0.47898519163763065,0.8033333333333333,0.17857142857142858,0.03637083382933246,0.6045454545454545
restaurant_logo,subjectwise,xgboost,0,440,15,0.07216053531635458,0.06923076923076932,0.5385714285714285,0.6896291400659011,0.533797619047619,0.5254901960784314,0.57,0.5071428571428571,0.19965722979545453,0.55
restaurant_logo,subjectwise,xgboost,1,440,15,0.06351294560527145,0.0580357142857143,0.534047619047619,0.6755829031513765,0.4902380952380952,0.5083642679743061,0.49666666666666665,0.5714285714285714,0.19400045918181816,0.5204545454545455
restaurant_logo,subjectwise,xgboost,2,440,15,0.08042710326194258,0.07850877192982464,0.5426190476190477,0.720286454705943,0.5567738095238095,0.534081774081774,0.6066666666666667,0.4785714285714286,0.1835522915227272,0.5659090909090909
restaurant_logo,subjectwise,xgboost,3,440,15,0.07847002229279017,0.07824074074074083,0.5402380952380952,0.6831565923433002,0.5106547619047619,0.5385194842821961,0.6733333333333333,0.40714285714285714,0.18893503286363636,0.5886363636363636
restaurant_logo,subjectwise,xgboost,4,440,15,-0.02666666666666667,-0.026666666666666616,0.4866666666666667,0.6823140531430192,0.4796785714285714,0.4866666666666667,0.6733333333333333,0.3,0.17909982445454548,0.5545454545454546
