dataset,protocol,model,seed,n_trials,n_subjects,mcc,kappa,balanced_accuracy,pr_auc,roc_auc,macro_f1,sensitivity,specificity,ece,accuracy
ds007406,permuted_subjectwise,deepconvnet,1,60,10,-0.10005560189476051,-0.10000000000000009,0.45,0.4775630227636758,0.4766666666666666,0.44984717977215893,0.4666666666666667,0.43333333333333335,0.03667517247360786,0.45
ds007406,permuted_subjectwise,deepconvnet,2,60,10,0.035828718195000935,0.033333333333333326,0.5166666666666666,0.5196997826108168,0.5,0.49985628054038517,0.7,0.3333333333333333,0.07241313055985502,0.5166666666666667
ds007406,permuted_subjectwise,deepconvnet,3,60,10,-0.26943012562182533,-0.2333333333333334,0.3833333333333333,0.4154028316812476,0.3611111111111111,0.34222222222222226,0.6333333333333333,0.13333333333333333,0.1377955107059744,0.38333333333333336
ds007406,permuted_subjectwise,deepconvnet,4,60,10,-0.23664319132398462,-0.2333333333333334,0.3833333333333333,0.4434220787951029,0.3966666666666666,0.37902097902097903,0.3,0.4666666666666667,0.12691635142597887,0.38333333333333336
ds007406,permuted_subjectwise,eegnet,0,60,10,0.0,0.0,0.5,0.499729847263922,0.5044444444444445,0.49776785714285715,0.5666666666666667,0.43333333333333335,0.028150186952617395,0.5
ds007406,permuted_subjectwise,eegnet,1,60,10,0.033351867298253506,0.033333333333333326,0.5166666666666666,0.5021911274573643,0.5122222222222222,0.5165323701028064,0.5,0.5333333333333333,0.029018156267055742,0.5166666666666667
ds007406,permuted_subjectwise,eegnet,2,60,10,0.0,0.0,0.5,0.5023039742023935,0.5022222222222222,0.4791666666666667,0.7,0.3,0.010807236557205498,0.5
ds007406,permuted_subjectwise,eegnet,3,60,10,0.10050378152592121,0.09999999999999998,0.55,0.4226687884374184,0.3811111111111111,0.5488721804511278,0.6,0.5,0.11257033470604157,0.55
ds007406,permuted_subjectwise,eegnet,4,60,10,-0.25080102736500653,-0.2333333333333334,0.3833333333333333,0.484362621497058,0.41555555555555557,0.3618855993101466,0.5666666666666667,0.2,0.01163165767987571,0.38333333333333336
ds007406,permuted_subjectwise,logreg,0,60,10,0.10050378152592121,0.09999999999999998,0.55,0.5362685593886226,0.5133333333333333,0.5488721804511278,0.5,0.6,0.24020780924000001,0.55
ds007406,permuted_subjectwise,logreg,1,60,10,-0.1414213562373095,-0.1333333333333333,0.43333333333333335,0.49954846234567596,0.46888888888888886,0.41714285714285715,0.6,0.26666666666666666,0.3982849855716667,0.43333333333333335
ds007406,permuted_subjectwise,logreg,2,60,10,-0.06666666666666667,-0.06666666666666665,0.4666666666666667,0.499127119105356,0.45999999999999996,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.37799384541399994,0.4666666666666667
ds007406,permuted_subjectwise,logreg,3,60,10,0.0668153104781061,0.06666666666666665,0.5333333333333333,0.4703463409481201,0.45444444444444443,0.5328142380422691,0.5,0.5666666666666667,0.4039487262866666,0.5333333333333333
ds007406,permuted_subjectwise,logreg,4,60,10,-0.1667593364912675,-0.16666666666666674,0.4166666666666667,0.4872478771662735,0.4288888888888889,0.41650458460683526,0.43333333333333335,0.4,0.39068485875650005,0.4166666666666667
ds007406,permuted_subjectwise,svm_rbf,0,60,10,0.0,0.0,0.5,0.5630978726031283,0.5355555555555556,0.4791666666666667,0.7,0.3,0.0755802452533391,0.5
ds007406,permuted_subjectwise,svm_rbf,1,60,10,-0.1345345587992625,-0.1333333333333333,0.43333333333333335,0.45475144361461334,0.4011111111111111,0.4308035714285714,0.5,0.36666666666666664,0.15726831457808427,0.43333333333333335
ds007406,permuted_subjectwise,svm_rbf,2,60,10,-0.03494282789073061,-0.03333333333333344,0.4833333333333333,0.4989189895833541,0.48777777777777775,0.4714407502131287,0.6333333333333333,0.3333333333333333,0.13761152690320658,0.48333333333333334
ds007406,permuted_subjectwise,svm_rbf,3,60,10,0.0,0.0,0.5,0.5865049982878969,0.5344444444444445,0.4791666666666667,0.7,0.3,0.11135565860031638,0.5
ds007406,permuted_subjectwise,svm_rbf,4,60,10,0.0,0.0,0.5,0.5063817148332577,0.5088888888888888,0.4994438264738599,0.4666666666666667,0.5333333333333333,0.013822599458824216,0.5
ds007406,subjectwise,deepconvnet,0,60,10,-0.033351867298253506,-0.03333333333333344,0.48333333333333334,0.5262208601839926,0.5233333333333333,0.4831897749374826,0.4666666666666667,0.5,0.01912069263230985,0.48333333333333334
ds007406,subjectwise,deepconvnet,1,60,10,0.10283867552865915,0.09999999999999998,0.55,0.5059114472566405,0.4944444444444444,0.5437904815544916,0.6666666666666666,0.43333333333333335,0.07204859332181511,0.55
ds007406,subjectwise,deepconvnet,2,60,10,0.03494282789073061,0.033333333333333326,0.5166666666666666,0.5317205832025669,0.5088888888888888,0.5055413469735721,0.6666666666666666,0.36666666666666664,0.0535119694016046,0.5166666666666667
ds007406,subjectwise,deepconvnet,3,60,10,-0.06726727939963124,-0.06666666666666665,0.4666666666666667,0.4985772484029329,0.45444444444444443,0.4642857142857143,0.5333333333333333,0.4,0.05842382520437238,0.4666666666666667
ds007406,subjectwise,deepconvnet,4,60,10,-0.06917144638660747,-0.06666666666666665,0.4666666666666667,0.5061161348081775,0.5022222222222222,0.4570135746606335,0.3333333333333333,0.6,0.03659015016423335,0.4666666666666667
ds007406,subjectwise,eegnet,0,60,10,0.0,0.0,0.5,0.5476362967261895,0.5566666666666666,0.4791666666666667,0.7,0.3,0.006816826925819915,0.5
ds007406,subjectwise,eegnet,1,60,10,-0.03427955850955305,-0.03333333333333344,0.4833333333333333,0.468319337198812,0.45555555555555555,0.4762038862292312,0.6,0.36666666666666664,0.034476936360092095,0.48333333333333334
ds007406,subjectwise,eegnet,2,60,10,0.21213203435596426,0.19999999999999996,0.6000000000000001,0.6310699759437689,0.5877777777777778,0.5885714285714285,0.7666666666666667,0.43333333333333335,0.08742621033555922,0.6
ds007406,subjectwise,eegnet,3,60,10,0.282842712474619,0.2666666666666667,0.6333333333333333,0.6204257049692976,0.6188888888888888,0.6228571428571429,0.8,0.4666666666666667,0.02937695504916412,0.6333333333333333
ds007406,subjectwise,eegnet,4,60,10,-0.07071067811865475,-0.06666666666666665,0.4666666666666667,0.5291603420316249,0.5111111111111112,0.4514285714285714,0.6333333333333333,0.3,0.020221488657666153,0.4666666666666667
ds007406,subjectwise,logreg,0,60,10,0.06666666666666667,0.06666666666666665,0.5333333333333333,0.5823720244669565,0.5477777777777778,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.36014111714999997,0.5333333333333333
ds007406,subjectwise,logreg,1,60,10,0.10005560189476051,0.09999999999999998,0.55,0.6115929464405155,0.5511111111111111,0.5498749652681301,0.5666666666666667,0.5333333333333333,0.35194707101666667,0.55
ds007406,subjectwise,logreg,2,60,10,0.03427955850955305,0.033333333333333326,0.5166666666666666,0.6572262000250113,0.5888888888888889,0.5099971838918614,0.6333333333333333,0.4,0.3544044638,0.5166666666666667
ds007406,subjectwise,logreg,3,60,10,0.2075143391598224,0.19999999999999996,0.6,0.632069575789306,0.6111111111111112,0.5927601809954751,0.7333333333333333,0.4666666666666667,0.32456972344,0.6
ds007406,subjectwise,logreg,4,60,10,0.11547005383792515,0.09999999999999998,0.55,0.5920478370714417,0.6055555555555555,0.52,0.8,0.3,0.3083805745,0.55
ds007406,subjectwise,svm_rbf,0,60,10,0.0,0.0,0.5,0.6098496028457322,0.5433333333333333,0.46172248803827753,0.7666666666666667,0.23333333333333334,0.04745724967315199,0.5
ds007406,subjectwise,svm_rbf,1,60,10,0.0,0.0,0.5,0.6042991415051027,0.5588888888888889,0.45054945054945056,0.8,0.2,0.011369527018437391,0.5
ds007406,subjectwise,svm_rbf,2,60,10,0.0519174131651165,0.033333333333333326,0.5166666666666667,0.560314036538618,0.5044444444444445,0.4334093129273852,0.9,0.13333333333333333,0.08665072581201216,0.5166666666666667
ds007406,subjectwise,svm_rbf,3,60,10,0.11547005383792515,0.09999999999999998,0.55,0.5623291741883739,0.6011111111111112,0.52,0.8,0.3,0.1606386810097571,0.55
ds007406,subjectwise,svm_rbf,4,60,10,0.08333333333333333,0.06666666666666665,0.5333333333333333,0.48645392321875935,0.4633333333333333,0.4871794871794872,0.8333333333333334,0.23333333333333334,0.09861836241231173,0.5333333333333333
neuma,epochwise,deepconvnet,0,4708,42,0.005060121399040457,0.004705260232205188,0.5028599199970092,0.2645380750406672,0.505509522368555,0.4861303926238602,0.43478260869565216,0.5709372312983663,0.2601045928241534,0.5356839422259984
neuma,epochwise,deepconvnet,1,4708,42,0.005520402048672442,0.004937717407201281,0.5031474755654182,0.25955363682855775,0.5051274473083224,0.4768803680339179,0.48236259228876127,0.5239323588420751,0.25661575851252477,0.5131690739167375
neuma,epochwise,deepconvnet,2,4708,42,0.007533727383966751,0.006446278396012528,0.5042948763616861,0.2566183624230785,0.5054826007720032,0.46669970215026146,0.5299425758818704,0.4786471768415019,0.28709658511911873,0.491928632115548
neuma,epochwise,deepconvnet,3,4708,42,0.009624303796010527,0.008558901255472984,0.5054900071500938,0.258690680045891,0.5101477960382226,0.4773731564080165,0.4922067268252666,0.5187732874749211,0.25408365098795116,0.5118946474086661
neuma,epochwise,deepconvnet,4,4708,42,0.005723516384593095,0.005031672280855104,0.5032664478610969,0.2625196350368737,0.5166070982257375,0.47267551453679213,0.5012305168170632,0.5053023789051304,0.24578531559802771,0.5042480883602379
neuma,epochwise,eegnet,0,4708,42,-0.00044993886501001825,-0.0003852471867420437,0.49974348068263763,0.26033776897926586,0.5033085348985009,0.4631990141415175,0.5225594749794914,0.4769274863857839,0.2413072158964691,0.48874256584536957
neuma,epochwise,eegnet,1,4708,42,0.006557983873586439,0.0053109109484487105,0.5037028363606609,0.2594467396690784,0.5092542106435061,0.4522124616956078,0.5783429040196882,0.4290627687016337,0.23633378508129654,0.467714528462192
neuma,epochwise,eegnet,2,4708,42,0.0007531214859836371,0.0006676590521872416,0.5004296874908155,0.25939271106801814,0.5051764704775892,0.472440296421903,0.48810500410172275,0.5127543708799083,0.2418480805884837,0.5063721325403568
neuma,epochwise,eegnet,3,4708,42,-0.009368088126230797,-0.008033485438611487,0.4946583555348334,0.25774691666247945,0.4954228583399697,0.459484375032589,0.5135356849876949,0.4757810260819719,0.2376720094586467,0.48555649957519115
neuma,epochwise,eegnet,4,4708,42,0.011026931785360718,0.00979479959824281,0.5062906013532276,0.25440146112245043,0.5022736405122769,0.4777385674828999,0.4946677604593929,0.5179134422470622,0.23469405709551225,0.5118946474086661
neuma,epochwise,logreg,0,4708,42,0.05328281703807035,0.047839211503561296,0.5303667379795072,0.294469602536166,0.5517350792635286,0.5003187922594129,0.5184577522559475,0.5422757237030668,0.23491132630203906,0.536108751062022
neuma,epochwise,logreg,1,4708,42,0.039058300875221504,0.03479523229628623,0.5222772096811472,0.28317017016328827,0.5402531946765305,0.491619035709279,0.5151763740771124,0.529378045285182,0.23445756385301614,0.5257009345794392
neuma,epochwise,logreg,2,4708,42,0.04199730919396706,0.03779830430223785,0.5239275388182383,0.28033925003048843,0.5338212843317954,0.4956222117248044,0.5061525840853158,0.5417024935511608,0.23563172043755307,0.5324978759558199
neuma,epochwise,logreg,3,4708,42,0.03146129517638945,0.027363533075639435,0.5179536482995544,0.28210978873533266,0.5418363961645778,0.48191308875898675,0.5340442986054142,0.5018629979936945,0.235532190673322,0.510195412064571
neuma,epochwise,logreg,4,4708,42,0.05674721423678681,0.052066606031881624,0.5322095153853985,0.27845846536102126,0.5428723486048148,0.5075426361491004,0.49548810500410173,0.5689309257666954,0.23559883207306712,0.5499150382327952
neuma,epochwise,svm_rbf,0,4708,42,0.01746794576866221,0.013850265568306819,0.509806279715153,0.25472215596503045,0.49879534672547565,0.4515962631689582,0.6045939294503692,0.41501862997993694,0.0018185980125801572,0.4641036533559898
neuma,epochwise,svm_rbf,1,4708,42,-0.0013684200654121587,-0.0013101146691858467,0.4994250064247391,0.2607056980108316,0.5048344839082917,0.4922120614428307,0.16078753076292043,0.8380624820865578,0.0008729946700985208,0.6627017841971113
neuma,epochwise,svm_rbf,2,4708,42,0.002686104051101741,0.0025425709373321226,0.5015053757373167,0.25610663574962794,0.5045220052897998,0.48919917286529613,0.4077112387202625,0.5952995127543709,0.0029422885907694485,0.5467289719626168
neuma,epochwise,svm_rbf,3,4708,42,0.010662929980357123,0.010482528119464152,0.5057489952601532,0.24805971118359998,0.4829760284931594,0.5017227137592314,0.3445447087776866,0.6669532817426197,0.0023891498452629123,0.5834749362786746
neuma,epochwise,svm_rbf,4,4708,42,-0.00017362024355757372,-0.0001643552344152699,0.4999288752580182,0.2557850075149736,0.49442135143593213,0.4911391614262372,0.15176374077112387,0.8480940097449126,0.0023056444291144618,0.6677994902293968
neuma,permuted_subjectwise,deepconvnet,0,4708,42,-0.013487429462209379,-0.012677771969825002,0.49241269467312127,0.259254310973942,0.5121103686706915,0.47974593102111995,0.4044298605414274,0.5803955288048152,0.25065460703088305,0.5348343245539507
neuma,permuted_subjectwise,deepconvnet,1,4708,42,0.01935893745114044,0.018029894815113634,0.5109347531007449,0.26708989521354143,0.5280789900803909,0.49338069693296693,0.4446267432321575,0.5772427629693322,0.2213928426282374,0.5429056924384027
neuma,permuted_subjectwise,deepconvnet,2,4708,42,0.013475355076295388,0.012829926646328094,0.5075242923323295,0.2631498514011814,0.5205518762706934,0.4958050370679796,0.4077112387202625,0.6073373459443967,0.2704049614978164,0.5556499575191164
neuma,permuted_subjectwise,deepconvnet,3,4708,42,0.009021260793549335,0.007676349567636853,0.5051400263949207,0.26099165158836723,0.5082029752008599,0.4659721476508324,0.5365053322395406,0.47377472055030095,0.2560108437843008,0.4900169923534409
neuma,permuted_subjectwise,deepconvnet,4,4708,42,-0.02451251592999819,-0.022818838229864413,0.48615171883225633,0.2559209668737257,0.4978649645634199,0.47219052962810626,0.4085315832649713,0.5637718543995414,0.2617113481741794,0.5235768903993203
neuma,permuted_subjectwise,eegnet,0,4708,42,-0.016830815499550178,-0.015376106633782527,0.49043672002315497,0.25321896387468223,0.4990495148116981,0.4714465746437365,0.4388843314191961,0.5419891086271138,0.24115055850600173,0.5152931180968564
neuma,permuted_subjectwise,eegnet,1,4708,42,-0.007889926536498117,-0.0067286781229647374,0.49550350556806805,0.25763673310775403,0.49801250431744815,0.4587861655143382,0.5200984413453651,0.470908569790771,0.23780973903208136,0.48364485981308414
neuma,permuted_subjectwise,eegnet,2,4708,42,-0.004597480455683467,-0.0042858992342988955,0.4974041232600008,0.25229350495734704,0.5024042514020979,0.4820930914608939,0.42329778506972926,0.5715104614502723,0.2388991502888292,0.5331350892098555
neuma,permuted_subjectwise,eegnet,3,4708,42,-0.012693898095327859,-0.011098092339787868,0.4927553866117607,0.2486791040403955,0.4851731364318328,0.4627380884425803,0.4913863822805578,0.4941243909429636,0.23679199795489503,0.49341546304163125
