dataset,protocol,metric,a,b,n_pairs,mean_a,mean_b,mean_diff,ci_lo,ci_hi,wilcoxon_p,perm_p,cohen_dz,cliffs_delta,wins,ties,losses,wilcoxon_p_holm,perm_p_holm
neuma,subjectwise,balanced_accuracy,deepconvnet,svm_rbf,42,0.49994012317965353,0.5012322089021615,-0.0012920857225079698,-0.014358073475329431,0.012055645641127762,0.8819804011395718,0.8503149685031497,-0.029390581347147206,-0.07256235827664399,21,0,21,1.0,1.0
neuma,subjectwise,balanced_accuracy,deepconvnet,xgboost,42,0.49994012317965353,0.512517808320794,-0.012577685141140483,-0.03267918983427938,0.007271493765222418,0.2798322811518119,0.23797620237976203,-0.18739143404714578,-0.23129251700680273,17,0,25,1.0,1.0
neuma,subjectwise,balanced_accuracy,eegnet,logreg,42,0.5004179493801012,0.5185012323283624,-0.018083282948261253,-0.03441291339496961,-0.001667772670727542,0.05041771051583055,0.040195980401959805,-0.32799906564302295,-0.30385487528344673,15,0,27,0.6050125261899666,0.5225477452254774
neuma,subjectwise,balanced_accuracy,eegnet,mlp,42,0.5004179493801012,0.5040692052107828,-0.0036512558306816215,-0.017170761272277894,0.010774458357467,0.5114121537235405,0.6193380661933806,-0.07719922074153047,-0.12698412698412698,18,0,24,1.0,1.0
neuma,subjectwise,balanced_accuracy,eegnet,svm_rbf,42,0.5004179493801012,0.5012322089021615,-0.0008142595220601858,-0.011982689553202268,0.010324522739219166,0.9901299043499421,0.8972102789721028,-0.020845066533848634,0.02947845804988662,21,0,21,1.0,1.0
neuma,subjectwise,balanced_accuracy,eegnet,xgboost,42,0.5004179493801012,0.512517808320794,-0.012099858940692695,-0.029048591553914427,0.004765723247211249,0.2277620672807643,0.1840815918408159,-0.21134779944713503,-0.20748299319727892,18,0,24,1.0,1.0
neuma,subjectwise,balanced_accuracy,logreg,mlp,42,0.5185012323283624,0.5040692052107828,0.014432027117579635,0.005399151979782377,0.023871506411201525,0.013670246421042975,0.0036996300369963003,0.45842356310743304,0.20918367346938777,25,0,17,0.20505369631564463,0.05549445055494451
neuma,subjectwise,balanced_accuracy,logreg,svm_rbf,42,0.5185012323283624,0.5012322089021615,0.01726902342620107,0.0025105020528945034,0.03199946637111421,0.01960149810565781,0.026797320267973202,0.3538052539541466,0.4489795918367347,27,0,15,0.27442097347920935,0.3751624837516248
neuma,subjectwise,balanced_accuracy,logreg,xgboost,42,0.5185012323283624,0.512517808320794,0.005983424007568557,-0.006387046188925324,0.019650285993940007,0.6292015567078124,0.3845615438456154,0.13609271103195347,0.09183673469387756,21,0,21,1.0,1.0
neuma,subjectwise,balanced_accuracy,mlp,svm_rbf,42,0.5040692052107828,0.5012322089021615,0.0028369963086214357,-0.01056747016226965,0.015191718548085925,0.32065961358739514,0.6837316268373163,0.06457192999941724,0.23015873015873015,26,0,16,1.0,1.0
neuma,subjectwise,balanced_accuracy,mlp,xgboost,42,0.5040692052107828,0.512517808320794,-0.008448603110011076,-0.01800690635382657,0.0011318577191907664,0.08679209261254073,0.09529047095290472,-0.26426283440794085,-0.08956916099773243,17,0,25,0.954713018737948,1.0
neuma,subjectwise,balanced_accuracy,svm_rbf,xgboost,42,0.5012322089021615,0.512517808320794,-0.011285599418632511,-0.02363175348004253,0.0015276763157959035,0.023311643519718928,0.0933906609339066,-0.26492457842498734,-0.3066893424036281,13,0,29,0.30305136575634606,1.0
restaurant_logo,subjectwise,balanced_accuracy,deepconvnet,eegnet,15,0.49753998778998787,0.5343883190883191,-0.036848331298331295,-0.0635311864061864,-0.010181644790394804,0.02557373046875,0.018698130186981302,-0.6675043073403979,-0.31555555555555553,4,0,11,0.3580322265625,0.266973302669733
restaurant_logo,subjectwise,balanced_accuracy,deepconvnet,logreg,15,0.49753998778998787,0.5688679283679284,-0.07132794057794058,-0.1257398321123321,-0.021828088624338635,0.013468600262199907,0.017798220177982202,-0.6665498382316432,-0.38666666666666666,2,0,13,0.2020290039329986,0.266973302669733
restaurant_logo,subjectwise,balanced_accuracy,deepconvnet,mlp,15,0.49753998778998787,0.5286799145299145,-0.031139926739926747,-0.07671663308913311,0.025971626984126785,0.072998046875,0.281971802819718,-0.3004493593885684,-0.3422222222222222,2,0,13,0.8759765625,1.0
restaurant_logo,subjectwise,balanced_accuracy,deepconvnet,svm_rbf,15,0.49753998778998787,0.5287349613349612,-0.03119497354497354,-0.07266853835978834,0.011378935185185178,0.12054443359375,0.18018198180181982,-0.36554483363491275,-0.37333333333333335,3,0,12,1.0,1.0
restaurant_logo,subjectwise,balanced_accuracy,deepconvnet,xgboost,15,0.49753998778998787,0.5459138787138788,-0.04837389092389091,-0.09270166870166868,-0.003938963675213718,0.041259765625,0.05499450054994501,-0.5418271770840901,-0.39555555555555555,4,0,11,0.536376953125,0.7149285071492851
restaurant_logo,subjectwise,balanced_accuracy,eegnet,logreg,15,0.5343883190883191,0.5688679283679284,-0.03447960927960928,-0.09050684523809524,0.018110253357753254,0.389404296875,0.26987301269873015,-0.29956014820963794,-0.2088888888888889,7,0,8,1.0,1.0
restaurant_logo,subjectwise,balanced_accuracy,eegnet,mlp,15,0.5343883190883191,0.5286799145299145,0.005708404558404556,-0.03829606583231585,0.07221505952380951,0.22930908203125,0.9668033196680332,0.048216768219478755,-0.057777777777777775,5,0,10,1.0,1.0
restaurant_logo,subjectwise,balanced_accuracy,eegnet,svm_rbf,15,0.5343883190883191,0.5287349613349612,0.005653357753357758,-0.04314642857142859,0.06264790140415138,0.5894228678699656,0.8603139686031397,0.052664903431398354,0.04,7,0,8,1.0,1.0
restaurant_logo,subjectwise,balanced_accuracy,eegnet,xgboost,15,0.5343883190883191,0.5459138787138788,-0.011525559625559612,-0.06162074735449733,0.04285233058608048,0.25238037109375,0.6699330066993301,-0.10768697922766891,-0.1288888888888889,4,0,11,1.0,1.0
restaurant_logo,subjectwise,balanced_accuracy,logreg,mlp,15,0.5688679283679284,0.5286799145299145,0.04018801383801384,-0.016905347985347947,0.10250973544973546,0.42120361328125,0.22607739226077392,0.3336462263032803,0.18222222222222223,7,0,8,1.0,1.0
restaurant_logo,subjectwise,balanced_accuracy,logreg,svm_rbf,15,0.5688679283679284,0.5287349613349612,0.04013296703296705,-0.022154056776556758,0.09735288766788769,0.207763671875,0.2303769623037696,0.32792461083266927,0.23555555555555555,10,0,5,1.0,1.0
restaurant_logo,subjectwise,balanced_accuracy,logreg,xgboost,15,0.5688679283679284,0.5459138787138788,0.022954049654049676,-0.04429925722425718,0.08718164682539677,0.389404296875,0.5078492150784921,0.1741198559047925,0.1111111111111111,8,0,7,1.0,1.0
restaurant_logo,subjectwise,balanced_accuracy,mlp,svm_rbf,15,0.5286799145299145,0.5287349613349612,-5.504680504679893e-05,-0.03510552910052911,0.035578537851037845,0.683239071626591,0.9974002599740026,-0.0007737725047946099,0.06222222222222222,7,1,7,1.0,1.0
restaurant_logo,subjectwise,balanced_accuracy,mlp,xgboost,15,0.5286799145299145,0.5459138787138788,-0.017233964183964168,-0.05636961233211231,0.018516931216931206,0.638671875,0.39776022397760225,-0.2294032652464589,-0.07555555555555556,7,0,8,1.0,1.0
restaurant_logo,subjectwise,balanced_accuracy,svm_rbf,xgboost,15,0.5287349613349612,0.5459138787138788,-0.017178917378917368,-0.04336422771672767,0.009179025742775735,0.20118883972057566,0.23057694230576942,-0.32432941657266423,-0.18222222222222223,5,0,10,1.0,1.0
